Date,SPVIXSTR
30.09.11,22019.61
03.10.11,23578.85
04.10.11,21693.65
05.10.11,20552.62
06.10.11,20282.4
07.10.11,20321.12
10.10.11,18861.52
11.10.11,18769.9
12.10.11,17602.01
13.10.11,17473.94
14.10.11,16400.47
17.10.11,18456.83
18.10.11,17363.83
19.10.11,18960.2
20.10.11,19093.7
21.10.11,17736.93
24.10.11,16750.02
25.10.11,18109.51
26.10.11,17150.41
27.10.11,14854.96
28.10.11,14823.62
31.10.11,16695.86
01.11.11,18741.16
02.11.11,18137.54
03.11.11,17318.23
04.11.11,17630.69
07.11.11,17532.09
08.11.11,16578.59
09.11.11,19903.05
10.11.11,18640.48
11.11.11,17812.31
14.11.11,18144.24
15.11.11,18114.81
16.11.11,19265.42
17.11.11,19912.48
18.11.11,19112.85
21.11.11,19465.45
22.11.11,19098.83
23.11.11,19847.71
25.11.11,20322.55
28.11.11,18965.64
29.11.11,18616.23
30.11.11,17025.86
01.12.11,16693.03
02.12.11,16595.68
05.12.11,16538.19
06.12.11,16694.76
07.12.11,17030.9
08.12.11,17897.42
09.12.11,16370.4
12.12.11,16657.53
13.12.11,16502.12
14.12.11,16591.25
15.12.11,15960.67
16.12.11,15918.8
19.12.11,15640.71
20.12.11,14644.78
21.12.11,13514.01
22.12.11,13829.35
23.12.11,14145.63
27.12.11,14013.53
28.12.11,14652.05
29.12.11,14274.43
30.12.11,14654.77
03.01.12,13742.6
04.01.12,13441.9
05.01.12,13212.19
06.01.12,12897.2
09.01.12,12771.96
10.01.12,12503.28
11.01.12,12783.69
12.01.12,12537.09
13.01.12,12723.28
17.01.12,12645.37
18.01.12,12249.38
19.01.12,11910.12
20.01.12,11553.89
23.01.12,11278.86
24.01.12,11211.42
25.01.12,10882.26
26.01.12,10871.99
27.01.12,10676.31
30.01.12,10915.63
31.01.12,11017.03
01.02.12,10575.36
02.02.12,10223.86
03.02.12,9744.4
06.02.12,9657.61
07.02.12,9771.14
08.02.12,10090.32
