Date,SPVXSP5I
30.09.11,103929.55
03.10.11,100249.94
04.10.11,104257.61
05.10.11,106999.49
06.10.11,107702.92
07.10.11,107600.15
10.10.11,111464.5
11.10.11,111735.25
12.10.11,115211.45
13.10.11,115630.6
14.10.11,119182.37
17.10.11,111710.66
18.10.11,115018.41
19.10.11,109731.27
20.10.11,109345.01
21.10.11,113230
24.10.11,116380.29
25.10.11,111657.38
26.10.11,114614.18
27.10.11,122284.31
28.10.11,122413.35
31.10.11,114682.97
01.11.11,107658.46
02.11.11,109392.22
03.11.11,111862.98
04.11.11,110853.86
07.11.11,111163.89
08.11.11,114186.75
09.11.11,102738.02
10.11.11,105996.67
11.11.11,108351.31
14.11.11,107341.77
15.11.11,107428.85
16.11.11,104017.02
17.11.11,102270.26
18.11.11,104323.73
21.11.11,103361.48
22.11.11,104334.87
23.11.11,102289.35
25.11.11,101065.8
28.11.11,104439.9
29.11.11,105401.98
30.11.11,109904.23
01.12.11,110978.52
02.12.11,111302.18
05.12.11,111495.08
06.12.11,110967.33
07.12.11,109850.21
08.12.11,107055.65
09.12.11,111622.68
12.12.11,110643.82
13.12.11,111159.97
14.12.11,110859.79
15.12.11,112966.5
16.12.11,113114.72
19.12.11,114102.77
20.12.11,117735.57
21.12.11,122280.91
22.12.11,120854.28
23.12.11,119472.28
27.12.11,120030.18
28.12.11,117295.65
29.12.11,118807.19
30.12.11,117224.43
03.01.12,120872.86
04.01.12,122195.26
05.01.12,123239.42
06.01.12,124708.5
09.01.12,125314.1
10.01.12,126632.22
11.01.12,125212.25
12.01.12,126419.91
13.01.12,125481.19
17.01.12,125865.49
18.01.12,127836.24
19.01.12,129606.6
20.01.12,131544.86
23.01.12,133110.69
24.01.12,133508.68
25.01.12,135468.65
26.01.12,135532.64
27.01.12,136752.43
30.01.12,135219.92
31.01.12,134591.94
01.02.12,137289.94
02.02.12,139571.59
03.02.12,142844.4
06.02.12,143480.8
07.02.12,142637.65
08.02.12,140308.15
09.02.12,137181.12
10.02.12,132042.57
13.02.12,136944.02
14.02.12,135213.94
15.02.12,129793.34
16.02.12,133609.15
17.02.12,134106.33
21.02.12,134106.33
22.02.12,136221.5
23.02.12,140718.24
24.02.12,137539.11
27.02.12,136540.95
28.02.12,138458.38
29.02.12,138222.9
01.03.12,140850.18
02.03.12,139630.9
05.03.12,140105.83
06.03.12,133843.31
07.03.12,138164.56
08.03.12,140578.83
09.03.12,142330.76
12.03.12,145902.02
13.03.12,148538.81
14.03.12,144717.92
15.03.12,146127.88
16.03.12,146969.43
19.03.12,152240.06
20.03.12,155537.45
21.03.12,159609.11
22.03.12,158482.18
23.03.12,164227.52
26.03.12,171164.98
27.03.12,161414.37
28.03.12,161074.33
29.03.12,162939.2
30.03.12,164713.65
02.04.12,164469.12
03.04.12,162883.26
04.04.12,160006.79
05.04.12,157788.76
09.04.12,153565.48
10.04.12,148617.06
11.04.12,149871.47
12.04.12,157982.56
13.04.12,151139.89
16.04.12,152276.76
17.04.12,157335.07
18.04.12,154969.13
19.04.12,155503.96
20.04.12,158088.77
23.04.12,154685.09
24.04.12,157743.42
25.04.12,162219.79
26.04.12,164476.94
27.04.12,164564.41
30.04.12,162909.18
01.05.12,164801.28
02.05.12,164909.55
03.05.12,162027.2
04.05.12,157864.28
07.05.12,160191.64
08.05.12,159543.8
09.05.12,156161.59
10.05.12,159888.34
11.05.12,156981.28
14.05.12,151693.68
15.05.12,148884.23
16.05.12,147326.87
17.05.12,141971.47
18.05.12,136685.29
21.05.12,145760.28
22.05.12,143704.17
23.05.12,144130.63
24.05.12,145561.21
25.05.12,144850.86
29.05.12,149088.51
30.05.12,141295.61
31.05.12,140318.13
01.06.12,135645.26
04.06.12,137433.2
05.06.12,140439.48
06.06.12,145704.04
07.06.12,146459.46
08.06.12,150685.21
11.06.12,142128.31
12.06.12,144628.4
13.06.12,140992.89
14.06.12,145546.07
15.06.12,149795.59
18.06.12,155871.98
19.06.12,155609.89
20.06.12,160761.36
21.06.12,149603.09
22.06.12,154160.38
25.06.12,152211.88
26.06.12,154440.23
27.06.12,154613.65
28.06.12,155826.13
29.06.12,161595.75
02.07.12,166931.94
03.07.12,168874.6
05.07.12,164925
06.07.12,166594.63
09.07.12,166627.95
10.07.12,163489.03
11.07.12,166660.65
12.07.12,165991.73
13.07.12,170980.96
16.07.12,171251.17
17.07.12,174573.36
18.07.12,174102.81
19.07.12,176194.5
20.07.12,171692.69
23.07.12,164538.08
24.07.12,160526.3
25.07.12,163247.7
26.07.12,170311.3
27.07.12,172331.79
30.07.12,168734.09
31.07.12,167057.65
01.08.12,168030.8
02.08.12,171510.53
03.08.12,177634.66
06.08.12,179455.16
07.08.12,175757.52
08.08.12,179574.28
09.08.12,180811.43
10.08.12,181475.22
13.08.12,183347.24
14.08.12,179641.27
15.08.12,179835.68
16.08.12,181086.16
17.08.12,183938.99
20.08.12,183887.76
21.08.12,181399.5
22.08.12,180190.17
23.08.12,178764.02
24.08.12,182025.88
27.08.12,180939.99
28.08.12,180053.03
29.08.12,178907.34
30.08.12,177108.63
31.08.12,180420.34
04.09.12,182066.82
05.09.12,184164.31
06.09.12,193313.53
07.09.12,198830.97
10.09.12,191979.07
11.09.12,192543.46
12.09.12,196650.38
13.09.12,202915.9
14.09.12,197330.61
17.09.12,200352.98
18.09.12,203972.3
19.09.12,205227.51
20.09.12,203001.27
21.09.12,205023.32
24.09.12,206106.35
25.09.12,198808.87
26.09.12,195462.16
27.09.12,203563.66
28.09.12,201732.77
01.10.12,199190.42
02.10.12,201175.8
03.10.12,202194.78
04.10.12,205022.68
05.10.12,205695.49
08.10.12,204773.09
09.10.12,200574.94
10.10.12,200079.52
11.10.12,203382.45
12.10.12,200744.55
15.10.12,205576.35
16.10.12,207923.73
17.10.12,209785.73
18.10.12,208233.84
19.10.12,202671.66
22.10.12,204205.84
23.10.12,193856.39
24.10.12,195972.28
25.10.12,198001.31
26.10.12,198194.29
31.10.12,194607.94
01.11.12,203997.63
02.11.12,199279.16
05.11.12,197638.19
06.11.12,202486.44
07.11.12,193553.21
08.11.12,194829.1
09.11.12,193621.91
12.11.12,200236.32
13.11.12,201068.33
14.11.12,196475.68
15.11.12,195650.77
16.11.12,200753.45
19.11.12,209589.97
20.11.12,210831.35
21.11.12,210509.96
23.11.12,212769.37
26.11.12,216000.44
27.11.12,212477.33
28.11.12,216459.8
29.11.12,218242.83
30.11.12,216498.34
03.12.12,211538.61
04.12.12,210651.73
05.12.12,213542.45
06.12.12,211631.03
07.12.12,214102.83
10.12.12,214908.23
11.12.12,218240.27
12.12.12,214052.18
13.12.12,212388.47
14.12.12,212923.66
17.12.12,217233.06
18.12.12,219643.3
19.12.12,213183.2
20.12.12,210748.1
21.12.12,206483.84
24.12.12,204227.18
26.12.12,199892.89
27.12.12,201585.93
28.12.12,185749.53
31.12.12,203255.09
02.01.13,214199.6
03.01.13,212544.27
04.01.13,215158.98
07.01.13,217600.61
08.01.13,217828.94
09.01.13,217980.69
10.01.13,220323.75
11.01.13,220963.55
14.01.13,221313.3
15.01.13,222263.73
16.01.13,224373.82
17.01.13,223047.74
18.01.13,230182.45
22.01.13,235179.35
23.01.13,238050.55
24.01.13,236379.16
25.01.13,235401.31
28.01.13,232236.97
29.01.13,236027
30.01.13,228025
31.01.13,229090.17
01.02.13,232478.15
04.02.13,227174.16
05.02.13,230713.05
06.02.13,232599.91
07.02.13,232681
08.02.13,234984.37
11.02.13,235937.74
12.02.13,237273.55
13.02.13,237674.35
14.02.13,239247.24
15.02.13,239689.54
19.02.13,244702.25
20.02.13,232315.01
21.02.13,231488.88
22.02.13,235922.83
25.02.13,216324.99
26.02.13,219090.5
27.02.13,228664.74
28.02.13,223655.49
01.03.13,221951.02
04.03.13,230270.02
