,SVXY,SVXY,SVXY,SVXY,SVXY,SVXY,SPY,SPY,SPY,SPY,SPY,SPY
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
1993-01-29,,,,,,,43.96875,43.96875,43.75,43.9375,25.717395782470703,1003200
1993-02-01,,,,,,,43.96875,44.25,43.96875,44.25,25.90029525756836,480500
1993-02-02,,,,,,,44.21875,44.375,44.125,44.34375,25.955158233642578,201300
1993-02-03,,,,,,,44.40625,44.84375,44.375,44.8125,26.22952651977539,529400
1993-02-04,,,,,,,44.96875,45.09375,44.46875,45.0,26.339271545410156,531500
1993-02-05,,,,,,,44.96875,45.0625,44.71875,44.96875,26.32097816467285,492100
1993-02-08,,,,,,,44.96875,45.125,44.90625,44.96875,26.32097816467285,596100
1993-02-09,,,,,,,44.8125,44.8125,44.5625,44.65625,26.1380672454834,122100
1993-02-10,,,,,,,44.65625,44.75,44.53125,44.71875,26.174644470214844,379600
1993-02-11,,,,,,,44.78125,45.125,44.78125,44.9375,26.302698135375977,19500
1993-02-12,,,,,,,44.875,44.875,44.59375,44.59375,26.101486206054688,42500
1993-02-16,,,,,,,44.46875,44.46875,43.40625,43.46875,25.44301986694336,374800
1993-02-17,,,,,,,43.46875,43.53125,43.28125,43.4375,25.424718856811523,210900
1993-02-18,,,,,,,43.9375,43.9375,42.8125,43.40625,25.406417846679688,378100
1993-02-19,,,,,,,43.40625,43.5625,43.34375,43.5625,25.49789810180664,34900
1993-02-22,,,,,,,43.6875,43.78125,43.5625,43.71875,25.589344024658203,513600
1993-02-23,,,,,,,43.84375,43.875,43.46875,43.6875,25.571060180664062,373700
1993-02-24,,,,,,,43.71875,44.25,43.71875,44.25,25.90029525756836,26300
1993-02-25,,,,,,,44.21875,44.375,44.125,44.34375,25.955158233642578,44500
1993-02-26,,,,,,,44.4375,44.4375,44.1875,44.40625,25.991735458374023,66200
1993-03-01,,,,,,,44.5625,44.5625,44.21875,44.28125,25.9185848236084,66500
1993-03-02,,,,,,,44.3125,44.9375,44.25,44.9375,26.302698135375977,182400
1993-03-03,,,,,,,45.0,45.15625,44.9375,45.125,26.412452697753906,280100
1993-03-04,,,,,,,45.1875,45.1875,44.875,44.875,26.2661075592041,89500
1993-03-05,,,,,,,44.9375,45.125,44.71875,44.75,26.19294548034668,40000
1993-03-08,,,,,,,44.84375,45.75,44.84375,45.75,26.778268814086914,50800
1993-03-09,,,,,,,45.65625,45.6875,45.5,45.59375,26.686813354492188,169300
1993-03-10,,,,,,,45.59375,45.6875,45.40625,45.6875,26.741682052612305,194400
1993-03-11,,,,,,,45.71875,45.84375,45.5,45.5625,26.66852378845215,70900
1993-03-12,,,,,,,45.1875,45.21875,44.8125,45.09375,26.394147872924805,643600
1993-03-15,,,,,,,45.0625,45.3125,45.0625,45.3125,26.522192001342773,310800
1993-03-16,,,,,,,45.3125,45.4375,45.3125,45.3125,26.522192001342773,30800
1993-03-17,,,,,,,45.25,45.25,44.96875,45.03125,26.357574462890625,21800
1993-03-18,,,,,,,45.21875,45.5,45.21875,45.3125,26.522192001342773,59300
1993-03-19,,,,,,,45.28125,45.28125,45.03125,45.03125,26.482057571411133,66900
1993-03-22,,,,,,,44.59375,44.875,44.5625,44.78125,26.335031509399414,183400
1993-03-23,,,,,,,44.90625,44.9375,44.8125,44.875,26.390167236328125,55200
1993-03-24,,,,,,,44.8125,45.0625,44.59375,44.875,26.390167236328125,37200
1993-03-25,,,,,,,44.90625,45.25,44.84375,45.15625,26.555566787719727,110100
1993-03-26,,,,,,,45.125,45.15625,44.875,44.90625,26.408544540405273,101500
1993-03-29,,,,,,,44.9375,45.3125,44.9375,45.09375,26.518814086914062,87100
1993-03-30,,,,,,,45.15625,45.21875,45.09375,45.21875,26.592321395874023,56000
1993-03-31,,,,,,,45.34375,45.46875,45.1875,45.1875,26.57394027709961,111600
1993-04-01,,,,,,,45.25,45.25,44.9375,45.03125,26.482057571411133,129500
1993-04-02,,,,,,,44.65625,44.65625,44.09375,44.09375,25.930723190307617,59400
1993-04-05,,,,,,,44.4375,44.4375,44.1875,44.3125,26.059375762939453,172200
1993-04-06,,,,,,,44.40625,44.40625,44.0625,44.1875,25.985858917236328,129700
1993-04-07,,,,,,,44.25,44.34375,44.15625,44.34375,26.077754974365234,28000
1993-04-08,,,,,,,44.53125,44.53125,44.09375,44.28125,26.040998458862305,180800
1993-04-12,,,,,,,44.71875,44.9375,44.65625,44.90625,26.408544540405273,348500
1993-04-13,,,,,,,44.875,45.15625,44.84375,45.0,26.463668823242188,146100
1993-04-14,,,,,,,45.03125,45.0625,44.90625,44.9375,26.426950454711914,119600
1993-04-15,,,,,,,44.90625,45.03125,44.75,44.9375,26.426950454711914,148600
1993-04-16,,,,,,,44.96875,45.03125,44.875,44.9375,26.426950454711914,47900
1993-04-19,,,,,,,44.9375,45.0625,44.71875,44.75,26.316659927368164,157000
1993-04-20,,,,,,,44.6875,44.75,44.25,44.53125,26.18800926208496,279500
1993-04-21,,,,,,,44.625,44.625,44.375,44.5,26.169639587402344,67900
1993-04-22,,,,,,,44.3125,44.6875,43.9375,43.9375,25.83884048461914,97700
1993-04-23,,,,,,,43.84375,43.96875,43.6875,43.75,25.728574752807617,106000
1993-04-26,,,,,,,43.78125,43.9375,43.28125,43.40625,25.526418685913086,62600
1993-04-27,,,,,,,43.34375,43.875,43.34375,43.875,25.802091598510742,156800
1993-04-28,,,,,,,43.8125,43.90625,43.71875,43.78125,25.746959686279297,85900
1993-04-29,,,,,,,43.875,43.96875,43.625,43.96875,25.857229232788086,85000
1993-04-30,,,,,,,44.125,44.28125,44.03125,44.03125,25.89396858215332,88500
1993-05-03,,,,,,,44.09375,44.3125,43.90625,44.3125,26.059375762939453,80500
1993-05-04,,,,,,,44.40625,44.625,44.34375,44.46875,26.151268005371094,149100
1993-05-05,,,,,,,44.46875,44.75,44.46875,44.59375,26.224775314331055,109000
1993-05-06,,,,,,,44.53125,44.5625,44.40625,44.4375,26.132877349853516,54700
1993-05-07,,,,,,,44.46875,44.46875,44.28125,44.34375,26.077754974365234,68000
1993-05-10,,,,,,,44.40625,44.6875,44.40625,44.4375,26.132877349853516,113900
1993-05-11,,,,,,,44.4375,44.625,44.3125,44.625,26.24314308166504,42600
1993-05-12,,,,,,,44.4375,44.59375,44.4375,44.5625,26.206396102905273,31000
1993-05-13,,,,,,,44.375,44.375,44.0,44.03125,25.89396858215332,129100
1993-05-14,,,,,,,44.03125,44.15625,43.96875,44.0,25.875593185424805,63500
1993-05-17,,,,,,,44.125,44.15625,43.9375,44.15625,25.967477798461914,34000
1993-05-18,,,,,,,44.1875,44.21875,43.96875,44.125,25.94910430908203,105200
1993-05-19,,,,,,,44.125,45.03125,43.84375,45.03125,26.482057571411133,50200
1993-05-20,,,,,,,45.03125,45.15625,44.9375,45.15625,26.555566787719727,98200
1993-05-21,,,,,,,45.1875,45.25,44.71875,44.75,26.316659927368164,221400
1993-05-24,,,,,,,44.84375,45.09375,44.84375,44.9375,26.426950454711914,30500
1993-05-25,,,,,,,45.125,45.125,45.03125,45.03125,26.482057571411133,191800
1993-05-26,,,,,,,45.15625,45.625,45.125,45.59375,26.81284523010254,102400
1993-05-27,,,,,,,45.65625,45.65625,45.375,45.4375,26.720962524414062,53800
1993-05-28,,,,,,,45.40625,45.40625,45.0,45.21875,26.592321395874023,79100
1993-06-01,,,,,,,45.375,45.8125,45.3125,45.65625,26.8496036529541,28300
1993-06-02,,,,,,,45.53125,45.75,45.34375,45.59375,26.81284523010254,20300
1993-06-03,,,,,,,45.5,45.5,45.34375,45.4375,26.720962524414062,21600
1993-06-04,,,,,,,45.3125,45.3125,45.09375,45.28125,26.629087448120117,32000
1993-06-07,,,,,,,45.375,45.375,45.125,45.125,26.537189483642578,121400
1993-06-08,,,,,,,45.0,45.0,44.71875,44.71875,26.29828453063965,104500
1993-06-09,,,,,,,44.875,45.0625,44.8125,44.875,26.390167236328125,43300
1993-06-10,,,,,,,44.84375,44.9375,44.75,44.90625,26.408544540405273,17900
1993-06-11,,,,,,,45.0625,45.15625,44.90625,45.09375,26.518814086914062,647400
1993-06-14,,,,,,,45.15625,45.1875,45.03125,45.03125,26.482057571411133,64200
1993-06-15,,,,,,,45.09375,45.125,44.9375,44.9375,26.426950454711914,142400
1993-06-16,,,,,,,44.9375,45.03125,44.8125,45.03125,26.482057571411133,330900
1993-06-17,,,,,,,45.125,45.1875,45.03125,45.1875,26.57394027709961,37400
1993-06-18,,,,,,,44.84375,44.84375,44.5,44.5,26.355106353759766,58500
1993-06-21,,,,,,,44.625,44.625,44.53125,44.59375,26.41063117980957,29300
1993-06-22,,,,,,,44.65625,44.65625,44.5625,44.625,26.42913055419922,137500
1993-06-23,,,,,,,44.625,44.625,44.21875,44.21875,26.188541412353516,227600
1993-06-24,,,,,,,44.34375,44.8125,44.34375,44.8125,26.54018211364746,243700
1993-06-25,,,,,,,44.78125,44.90625,44.75,44.78125,26.521678924560547,44800
1993-06-28,,,,,,,45.0,45.28125,44.9375,45.28125,26.81781578063965,439900
1993-06-29,,,,,,,45.21875,45.21875,45.0,45.0625,26.68826675415039,207500
1993-06-30,,,,,,,45.125,45.21875,45.0,45.0625,26.68826675415039,437600
1993-07-01,,,,,,,45.125,45.125,44.875,44.9375,26.61423683166504,605700
1993-07-02,,,,,,,44.78125,44.8125,44.53125,44.6875,26.46615982055664,285400
